REG_ANS,periodo,1,2,3,4
300136,4T2013,56329918.77,0.00,42236773.03,0.00
300136,1T2014,58997551.38,0.00,43406918.53,0.00
300136,2T2014,63121424.42,0.00,45047928.77,0.00
300136,3T2014,65672390.81,0.00,50076550.32,0.00
300136,4T2014,67504933.22,0.00,51927504.37,0.00
300136,1T2015,69017171.39,0.00,56973727.89,0.00
300136,2T2015,70712586.89,0.00,59537459.49,0.00
300136,3T2015,72084395.19,0.00,60398355.46,0.00
300136,4T2015,74986134.66,0.00,60824245.87,0.00
300136,1T2016,76685742.57,0.00,58730038.36,0.00
300136,2T2016,75909649.59,0.00,59105680.39,21289.44
300136,3T2016,78120402.44,0.00,59507989.92,557012.60
300136,4T2016,78437254.65,0.00,61788036.86,0.00
300136,1T2017,80690207.32,0.00,66625512.07,0.00
300136,2T2017,78399437.36,32041.96,65610528.31,7671.20
300136,3T2017,74866420.95,122447.36,65054986.91,-451634.32
300136,4T2017,72618800.22,207367.99,60339260.22,171392.67
300136,1T2018,68611005.58,299710.85,54439747.16,245531.49
300136,2T2018,67295209.54,534958.19,52637226.28,447092.26
300136,3T2018,63509367.49,917633.40,47804871.08,717132.82
300136,4T2018,44494910.76,15587968.35,31322521.43,13839236.19
300136,1T2019,41433154.60,17096272.89,28447148.82,15120964.30
300136,2T2019,39917855.53,19319162.66,24646767.80,17100052.79
300136,3T2019,38944806.83,21914587.59,22503305.86,19530132.73
300713,4T2013,35184971.50,-2391.43,25536286.59,270681.29
300713,1T2014,36692529.73,-2444.50,27051828.36,337943.48
300713,2T2014,38162694.52,-4384.42,27503904.97,276007.94
300713,3T2014,39585194.66,185188.63,28790665.50,295519.26
300713,4T2014,40816670.45,699998.68,29193597.97,754370.90
300713,1T2015,42027876.24,1242576.35,29366778.57,1017218.27
300713,2T2015,43531083.37,1772558.58,31014076.69,1464450.15
300713,3T2015,45340646.25,2156066.68,30525161.91,1851267.84
300713,4T2015,47275532.92,2203776.84,32688089.18,1975665.00
300713,1T2016,49636988.15,1892968.17,34815487.87,1721149.38
300713,2T2016,52057617.27,1586752.39,37012333.29,1450612.20
300713,3T2016,54621599.53,1117111.48,40029439.12,1066069.65
300713,4T2016,57351128.03,632403.65,41913721.34,619305.98
300713,1T2017,60525600.81,499771.94,43601271.95,496569.95
300713,2T2017,63519806.88,356411.86,44168551.06,359475.18
300713,3T2017,66244612.00,370919.33,45831546.41,311375.18
300713,4T2017,69162954.85,411038.13,46673044.27,321666.70
