Registro_ANS,porte
303356,Médio Porte
304468,Pequeno Porte
306398,Grande Porte
311057,Pequeno Porte
312720,Grande Porte
314099,Médio Porte
316148,Médio Porte
316741,Pequeno Porte
317144,Grande Porte
320251,Médio Porte
320838,Pequeno Porte
321273,Médio Porte
321958,Médio Porte
323268,Médio Porte
327352,Pequeno Porte
327468,Pequeno Porte
328294,Médio Porte
329886,Médio Porte
334561,Grande Porte
335592,Grande Porte
336467,Pequeno Porte
337188,Médio Porte
342084,Grande Porte
343889,Grande Porte
349712,Médio Porte
351202,Grande Porte
352179,Médio Porte
352501,Grande Porte
352519,Pequeno Porte
354066,Médio Porte
354295,Médio Porte
355691,Grande Porte
355721,Grande Porte
356123,Médio Porte
356417,Médio Porte
357022,Médio Porte
357715,Pequeno Porte
358088,Médio Porte
358096,Médio Porte
358282,Pequeno Porte
360449,Grande Porte
360767,Médio Porte
364860,Médio Porte
365777,Pequeno Porte
366064,Pequeno Porte
367087,Médio Porte
369292,Médio Porte
370681,Médio Porte
382876,Grande Porte
