REG_ANS,ANO,TRIMESTRE,PERIODO,DESPESA DE COMERCIALIZAÇÃO DIFERIDA,ATIVO NÃO CIRCULANTE INTANGÍVEL,DESPESAS ANTECIPADAS,CRÉDITO TRIBUTÁRIO,PARTICIPAÇÕES OPS,PARTICIPAÇÕES INSTITUIÇÕES REGULADAS,PARTICIPAÇÕES COOPERATIVAS,APLICAÇÕES GARANTIDORAS,PPSC,RECEITAS FINANCEIRAS,DESPESAS FINANCEIRAS,OUTRAS RECEITAS OPERACIONAIS,OUTRAS DESPESAS OPERACIONAIS,DESPESA,RECEITA,TRIBUTOS DIRETOS,IMPOSTO SOBRE LUCRO,PEONA_OUTROS,PESL_OUTROS,PESL_SUS,REMISSAO,PPCNG,PROVISOES_TECNICAS,DESPESA_ADM,DESPESA_COM,VARIACAO_PEONA,EVENTOS_INDENIZAVEIS_POS,EVENTOS_INDENIZAVEIS_PRE,EVENTOS_INDENIZAVEIS_LIQUIDOS,CORRESP_CEDIDA_POS,CORRESP_CEDIDA_PRE,CONTRAPRESTACAO_POS,CONTRAPRESTACAO_PRE,RECEITA_COM_ASSISTENCIA_A_SAUDE,PL,PASSIVO_NAO_CIRCULANTE,PASSIVO_CIRCULANTE,PASSIVO,CREDITO_OPER_PS,ATIVO_CIRCULANTE,ATIVO,beneficiarios_x,porte_x,beneficiarios_y,porte_y,beneficiarios,porte,CHAVE_PERIODO
300136,2015,1,201501,0.0,48495.29,160608.25,0.0,0.0,0.0,0.0,7446561.26,-3814.88,300938.59,467465.17,8536083.21,9081820.35,27938532.98,25294114.39,-151884.6,0.0,6516073.94,2771120.73,426671.23,343848.62,582658.76,10640373.28,3390364.8,289318.41,133330.91,0.0,14576233.34,14709564.25,0.0,0.0,0.0,16839764.65,16839534.33,9897276.32,11841245.42,23903002.46,45641524.2,3381214.87,23392037.55,45641524.2,39231.0,Médio Porte,39231.0,Médio Porte,39.231,Médio Porte,300136201501
300136,2015,2,201502,0.0,41077.19,131979.09,0.0,0.0,0.0,0.0,7605757.83,21704.11,368130.34,511066.11000000004,9083908.39,9112709.910000002,28516228.860000003,28444490.479999997,-202559.49000000002,0.0,6889114.04,2777426.01,438174.54,433100.34,605488.31,11143303.24,3003487.0,292406.27999999997,373040.1,0.0,15218387.469999999,15591427.57,0.0,0.0,0.0,19437988.440000005,19347313.79,10667692.81,11714472.71,26845389.32,49227554.84,3752622.61,26781779.5,49227554.84,40258.0,Médio Porte,40258.0,Médio Porte,40.258,Médio Porte,300136201502
300136,2015,3,201503,0.0,33659.09,187360.57,0.0,0.0,0.0,0.0,8343374.93,41705.14,418374.5099999999,503315.5900000001,9329725.489999998,8632513.09,28707199.560000002,27954995.270000003,-147580.08999999997,0.0,7289432.18,3030946.99,469517.01,386736.04,622164.79,11798797.01,2952510.8899999997,514825.8800000001,400318.14,0.0,15703715.970000003,16104034.11,0.0,0.0,0.0,18526683.019999996,18571624.39,10759908.8,11417152.92,24767448.29,46944510.01,2430121.78,24336351.03,46944510.01,40936.0,Médio Porte,40936.0,Médio Porte,40.936,Médio Porte,300136201503
300136,2015,4,201504,0.0,26240.99,152494.75,0.0,0.0,0.0,0.0,8537590.03,-107139.98000000001,413476.77,458735.6599999999,9303529.000000004,8248779.799999997,26309427.699999988,29506189.189999998,-322484.08,0.0,6733029.96,2519686.95,483214.81,510207.86,618401.2,10864540.78,2958970.8900000006,223721.40999999992,-556402.22,0.0,14975622.159999996,14419219.939999998,0.0,0.0,0.0,20181698.549999997,20056803.800000004,10883122.95,11225608.22,21226705.79,43335436.96,6704705.64,25423831.25,43335436.96,40075.0,Médio Porte,40075.0,Médio Porte,40.075,Médio Porte,300136201504
300713,2015,1,201501,0.0,98906.88,29754.94,0.0,965070.7,365315.36,0.0,4245418.12,217071.59,441872.7,225546.02,810688.36,1223366.06,11723198.29,12380121.18,-245450.13,0.0,2640255.16,4253381.44,960609.62,37551.83,3923845.49,11815643.54,2690094.36,66031.37,23941.15,453031.48,7038369.16,7515341.79,0.0,0.0,542524.6,10946882.46,11357310.25,10041388.88,2314640.15,18939623.98,31295653.01,4465838.65,24334944.02,31952575.9,19912.0,Médio Porte,19912.0,Médio Porte,19.912,Médio Porte,300713201501
300713,2015,2,201502,0.0,265032.45,20062.4,0.0,983454.76,365315.36,0.0,4335091.04,72267.31999999998,512663.74999999994,281220.31000000006,1328541.81,794834.77,13073646.260000002,13151185.98,-184264.12,277608.42,2784401.45,3890165.06,977797.47,48154.89,3947493.74,11648012.61,2875877.61,112699.76000000001,144146.29,479174.62,8385692.9,9009013.809999999,0.0,0.0,528042.3099999999,11448987.43,11493844.54,10022072.16,1716795.82,20903963.42,32642831.4,4762055.37,25391186.04,33099685.59,20615.0,Médio Porte,20615.0,Médio Porte,20.615,Médio Porte,300713201502
300713,2015,3,201503,0.0,211554.54,15689.72,0.0,1001848.85,1340150.36,0.0,4480317.36,392302.24000000005,547404.5800000001,346570.21,1954842.46,1356228.7999999998,15205717.77,14516976.110000003,-272747.16000000003,217407.26,2754118.43,4465465.54,1095748.91,53744.7,3773863.56,12142941.14,2841679.670000001,66703.47999999998,-30283.01999999999,510881.35,8126694.159999998,8607292.49,0.0,0.0,573081.1500000001,12198624.530000001,12283804.130000003,10022072.16,3698697.76,21441841.09,35162611.01,4771561.06,26018524.97,34713316.28,20558.0,Médio Porte,20558.0,Médio Porte,20.558,Médio Porte,300713201503
300713,2015,4,201504,0.0,158076.63,9225.61,0.0,1020232.94,1340180.36,0.0,4582788.85,306519.75,552839.48,498903.19999999995,1393212.6600000001,1504747.6799999997,16095078.21,14466870.639999993,-241837.17999999993,45216.12000000005,2879345.15,4192728.0,1096660.26,46926.26,4015748.14,12231407.81,4484917.6499999985,74403.59000000003,125226.72,532577.55,8874301.82,9532106.09,0.0,0.0,560128.7799999998,12681038.5,12734458.629999995,7899353.74,5214696.12,20308515.18,33422565.04,4820890.56,24807921.48,33422565.04,22412.0,Médio Porte,22412.0,Médio Porte,22.412,Médio Porte,300713201504
300870,2015,1,201501,0.0,6914032.18,925701.71,0.0,0.0,286719.35,0.0,57983909.56,-534840.83,3014442.81,852796.66,42583041.66,21512248.19,33210655.38,51229065.58,0.0,679886.62,0.0,0.0,0.0,52387641.83,0.0,52387641.83,9530732.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605139.7,90594248.31,56369710.95,44588560.61,191552519.87,0.0,99076204.93,208891043.45,3.0,Pequeno Porte,3.0,Pequeno Porte,3,Pequeno Porte,300870201501
300870,2015,2,201502,0.0,7383024.29,1859155.38,0.0,0.0,286719.35,0.0,59443596.53,1329677.75,3536595.7099999995,899171.34,45488479.95,26599925.749999996,39236211.57000001,53879530.34,0.0,724036.33,0.0,0.0,0.0,51885404.76,0.0,51885404.76,9720994.079999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502237.07000000007,90594248.31,54999688.63,56170496.52,201764433.46,0.0,119804219.46,233022239.48,3.0,Pequeno Porte,3.0,Pequeno Porte,3,Pequeno Porte,300870201502
300870,2015,3,201503,0.0,7354233.72,3891366.54,0.0,0.0,276855.97,0.0,56291698.07,-1018244.39,4151738.880000001,1009995.8500000001,46786858.54000001,28255649.060000002,39949689.95,49288735.16000001,0.0,745223.5000000002,0.0,0.0,0.0,53600948.87,0.0,53600948.87,9994953.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1715544.11,90594248.31,54764441.08,60542494.83,205901184.22,0.0,127151363.91,245752811.95,3.0,Pequeno Porte,3.0,Pequeno Porte,3,Pequeno Porte,300870201503
300870,2015,4,201504,0.0,6533506.38,355040.53,0.0,0.0,861969.37,0.0,59137823.37,282330.39,4237301.379999999,1089996.19,53232215.109999985,30040578.39,48656215.34,61857494.30999997,0.0,869850.8399999999,0.0,0.0,0.0,53975978.5,0.0,53975978.5,16804299.970000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-375029.63,142777304.17,55199923.09,51362500.69,249339727.95,0.0,108593658.32,249339727.95,3.0,Pequeno Porte,3.0,Pequeno Porte,3,Pequeno Porte,300870201504
301060,2015,1,201501,0.0,155907.31,0.0,0.0,0.0,0.0,0.0,0.0,32018.83,309267.79,57829.71,884775.63,479519.75,9336546.44,9296752.84,-143997.16,61237.62,1970369.06,2336886.75,410305.15,74728.95,869251.22,5661541.13,1894971.91,34367.58,174809.41,1554775.22,5140272.86,6869857.49,0.0,0.0,1917221.23,6326010.19,8246706.58,8984628.08,3115632.28,7083697.63,19183957.99,3428073.22,12182833.47,19183957.99,28356.0,Médio Porte,28356.0,Médio Porte,28.356,Médio Porte,301060201501
