REG_ANS,PERIODO,ANO,TRIMESTRE,porte,MLL,ROE,ROA,DM,DA,DC,DOP,IRF,LC,CT/CP,PMRC,PMPE,Lastro P T
300136,201501,2015,1,Médio Porte,        -0.16,        -0.27,        -0.06,         1.67,         0.20,         0.02,         1.58,        -0.01,         0.98,         3.61,        73.02,        41.20,         0.74
300136,201502,2015,2,Médio Porte,        -0.00,        -0.01,        -0.00,         1.49,         0.16,         0.02,         1.45,        -0.01,         1.00,         3.61,        70.97,        40.59,         0.72
300136,201503,2015,3,Médio Porte,        -0.04,        -0.07,        -0.02,         1.56,         0.16,         0.03,         1.51,        -0.00,         0.98,         3.36,        48.30,        43.90,         0.75
300136,201504,2015,4,Médio Porte,         0.16,         0.29,         0.07,         1.33,         0.15,         0.01,         1.35,        -0.00,         1.20,         2.98,       124.26,        41.09,         0.83
300713,201501,2015,1,Médio Porte,         0.06,         0.07,         0.02,         1.06,         0.24,         0.01,         1.27,         0.02,         1.28,         2.12,       151.72,       160.11,         0.54
300713,201502,2015,2,Médio Porte,        -0.02,        -0.02,        -0.01,         1.16,         0.25,         0.01,         1.39,         0.02,         1.21,         2.26,       153.88,       134.05,         0.56
300713,201503,2015,3,Médio Porte,        -0.08,        -0.09,        -0.03,         1.27,         0.24,         0.01,         1.46,         0.02,         1.21,         2.51,       154.77,       131.66,         0.54
300713,201504,2015,4,Médio Porte,        -0.13,        -0.21,        -0.05,         1.29,         0.36,         0.01,         1.58,         0.00,         1.22,         3.23,       147.76,       118.31,         0.56
300870,201501,2015,1,Pequeno Porte,        10.80,         0.19,         0.08,        20.69,         5.94,         0.00,         2.78,         1.35,         2.22,         1.11,       119.95,         0.00,         1.11
300870,201502,2015,2,Pequeno Porte,        27.71,         0.15,         0.06,        78.12,        19.36,         0.00,         2.79,         5.25,         2.13,         1.23,       953.10,         0.00,         1.15
300870,201503,2015,3,Pequeno Porte,        -5.01,         0.09,         0.03,       -23.29,        -5.83,        -0.00,         2.95,        -1.83,         2.10,         1.27,      -213.67,         0.00,         1.05
300870,201504,2015,4,Pequeno Porte,       -32.88,         0.09,         0.05,      -129.74,       -44.81,        -0.00,         3.22,        -8.39,         2.11,         0.75,      -271.02,         0.00,         1.10
301060,201501,2015,1,Médio Porte,        -0.01,        -0.01,        -0.01,         1.15,         0.23,         0.00,         1.37,         0.03,         1.72,         1.14,       153.73,       105.93,         0.00
301060,201502,2015,2,Médio Porte,         0.05,         0.05,         0.02,         1.09,         0.20,         0.01,         1.29,         0.03,         1.65,         1.22,       179.77,       108.42,         0.00
301060,201503,2015,3,Médio Porte,        -0.01,        -0.01,        -0.01,         1.15,         0.21,         0.01,         1.34,         0.03,         1.61,         1.29,       161.71,       104.31,         0.00
301060,201504,2015,4,Médio Porte,         0.01,         0.01,         0.01,         1.12,         0.22,         0.01,         1.32,         0.03,         1.65,         1.28,       165.14,       103.46,         0.00
301124,201501,2015,1,Pequeno Porte,         0.36,         0.19,         0.08,         1.12,         0.13,         0.01,         1.19,         0.03,         2.13,         1.36,        51.12,       146.22,         0.64
301124,201502,2015,2,Pequeno Porte,         0.21,         0.12,         0.04,         1.35,         0.14,         0.01,         1.35,         0.02,         1.90,         1.50,        32.12,       137.06,         0.57
301124,201503,2015,3,Pequeno Porte,        -0.10,        -0.06,        -0.02,         1.48,         0.14,         0.01,         1.46,         0.04,         1.81,         1.49,        38.81,       110.49,         0.62
301124,201504,2015,4,Pequeno Porte,        -0.27,        -0.14,        -0.05,         1.78,         0.35,         0.01,         1.79,         0.08,         1.61,         1.56,        31.41,       120.04,         0.55
301574,201501,2015,1,Médio Porte,         0.07,         0.05,         0.03,         1.38,         0.19,         0.00,         1.41,         0.01,         1.30,         0.88,        22.16,        40.75,         0.35
301574,201502,2015,2,Médio Porte,         0.01,         0.01,         0.00,         1.44,         0.22,         0.00,         1.50,         0.01,         1.32,         0.89,        24.51,        42.42,         0.32
301574,201503,2015,3,Médio Porte,         0.04,         0.03,         0.02,         1.32,         0.21,         0.00,         1.44,         0.02,         1.38,         0.85,        30.50,        43.85,         0.31
301574,201504,2015,4,Médio Porte,        -0.05,        -0.05,        -0.02,         1.34,         0.22,         0.00,         1.45,         0.01,         1.32,         0.95,        25.07,        43.33,         0.32
301744,201501,2015,1,Pequeno Porte,         0.03,         0.03,         0.01,         1.25,         0.19,         0.00,         1.36,         0.01,         2.91,         3.32,        89.44,        84.75,         0.53
301744,201502,2015,2,Pequeno Porte,        -0.03,        -0.04,        -0.01,         1.28,         0.21,         0.00,         1.42,         0.02,         3.00,         3.45,        76.89,        86.79,         0.59
301744,201503,2015,3,Pequeno Porte,         0.06,         0.06,         0.02,         1.20,         0.20,         0.00,         1.33,         0.02,         3.21,         3.24,        78.37,        90.90,         0.58
301744,201504,2015,4,Pequeno Porte,         0.11,         0.10,         0.03,         0.98,         0.23,         0.01,         1.19,         0.14,         3.61,         2.86,        63.56,        82.54,         0.68
302228,201501,2015,1,Pequeno Porte,         0.19,         0.30,         0.11,         0.91,         0.09,         0.00,         1.01,         0.03,         2.54,         1.35,        10.05,        69.96,         0.78
302228,201502,2015,2,Pequeno Porte,         0.12,         0.20,         0.07,         1.00,         0.09,         0.00,         1.08,         0.03,         2.51,         1.46,        12.15,        71.89,         0.76
302228,201503,2015,3,Pequeno Porte,         0.08,         0.15,         0.05,         1.05,         0.09,         0.00,         1.12,         0.05,         2.47,         1.60,        13.32,        83.02,         0.69
302228,201504,2015,4,Pequeno Porte,         0.01,         0.01,         0.01,         1.12,         0.11,         0.00,         1.21,         0.04,         2.36,         1.03,        18.58,        90.96,         0.65
302953,201501,2015,1,Médio Porte,         0.11,         0.10,         0.05,         1.39,         0.14,         0.01,         1.39,         0.03,         1.95,         1.07,        32.32,        66.84,         1.08
302953,201502,2015,2,Médio Porte,         0.09,         0.08,         0.04,         1.51,         0.16,         0.01,         1.47,         0.03,         1.79,         1.10,        35.15,        61.09,         1.08
302953,201503,2015,3,Médio Porte,        -0.06,        -0.05,        -0.02,         1.68,         0.15,         0.01,         1.57,         0.03,         1.52,         1.28,        27.58,        55.73,         0.37
302953,201504,2015,4,Médio Porte,         0.04,         0.03,         0.01,         1.67,         0.15,         0.01,         1.54,         0.02,         1.39,         1.27,        38.46,        60.29,         0.35
303178,201501,2015,1,Pequeno Porte,         0.15,         0.17,         0.06,         1.10,         0.18,         0.00,         1.22,        -0.01,         1.22,         1.42,        91.57,       154.02,         0.46
303178,201502,2015,2,Pequeno Porte,        -0.02,        -0.01,        -0.01,         1.85,         0.27,         0.01,         1.77,        -0.01,         1.17,         1.24,       143.76,        52.54,         0.63
303178,201503,2015,3,Pequeno Porte,         0.01,         0.01,         0.00,         1.59,         0.22,         0.01,         1.57,        -0.01,         1.37,         1.22,       129.57,        55.21,         0.63
303178,201504,2015,4,Pequeno Porte,         0.14,         0.13,         0.05,         1.67,         0.25,         0.01,         1.64,        -0.01,         1.84,         1.15,       170.88,        55.55,         0.76
303267,201501,2015,1,Grande Porte,         0.02,         0.06,         0.01,         1.16,         0.11,         0.01,         1.24,        -0.00,         0.95,         3.36,        89.36,        85.15,         0.53
303267,201502,2015,2,Grande Porte,         0.00,         0.01,         0.00,         1.20,         0.12,         0.02,         1.28,         0.00,         0.91,         3.33,        90.46,        71.38,         0.55
303267,201503,2015,3,Grande Porte,        -0.01,        -0.02,        -0.00,         1.23,         0.12,         0.01,         1.30,        -0.00,         1.00,         3.79,        84.30,        73.91,         0.51
303267,201504,2015,4,Grande Porte,        -0.01,        -0.03,        -0.01,         1.21,         0.13,        -0.01,         1.26,         0.01,         0.88,         3.55,        88.21,        70.09,         0.57
303356,201501,2015,1,Médio Porte,         0.04,         0.02,         0.01,         1.63,         0.12,         0.00,         1.44,         0.01,         1.00,         1.23,        42.67,        56.93,         0.65
303356,201502,2015,2,Médio Porte,         0.06,         0.04,         0.02,         1.61,         0.11,         0.00,         1.42,         0.01,         0.86,         1.36,        48.18,        61.38,         0.70
303356,201503,2015,3,Médio Porte,        -0.01,        -0.01,        -0.00,         1.81,         0.11,         0.00,         1.53,         0.01,         0.88,         1.35,        58.74,        55.23,         0.70
303356,201504,2015,4,Médio Porte,        -0.02,        -0.01,        -0.00,         1.77,         0.18,         0.00,         1.56,        -0.03,         0.86,         1.40,        52.53,        50.01,         0.59
303844,201501,2015,1,Médio Porte,        -0.02,        -0.04,        -0.01,         1.67,         0.19,         0.01,         1.52,         0.01,         1.55,         2.35,        64.66,        48.60,         0.66
303844,201502,2015,2,Médio Porte,         0.01,         0.02,         0.01,         1.70,         0.19,         0.01,         1.53,         0.02,         1.51,         2.44,        55.27,        47.24,         0.65
303844,201503,2015,3,Médio Porte,         0.01,         0.01,         0.00,         1.64,         0.16,         0.01,         1.49,         0.02,         1.46,         2.46,        44.06,        50.80,         0.63
303844,201504,2015,4,Médio Porte,         0.07,         0.11,         0.03,         1.54,         0.16,         0.01,         1.45,         0.01,         1.54,         2.15,        54.73,        46.92,         0.67
303976,201501,2015,1,Grande Porte,         0.13,        -0.32,         0.13,         0.90,         0.10,         0.00,         1.00,         0.01,         0.66,        -3.44,        43.80,        71.77,         0.34
303976,201502,2015,2,Grande Porte,         0.10,        -5.85,         0.09,         0.94,         0.09,         0.00,         1.04,         0.02,         0.77,       -69.33,        46.90,        88.90,         0.44
303976,201503,2015,3,Grande Porte,         0.05,         0.62,         0.05,         0.98,         0.10,         0.00,         1.08,         0.01,         0.88,        11.52,        42.68,        73.62,         0.63
303976,201504,2015,4,Grande Porte,         0.04,         0.30,         0.03,         1.01,         0.10,         0.00,         1.11,         0.01,         0.94,         8.28,        45.38,        65.75,         0.62
304051,201501,2015,1,Médio Porte,         0.07,         0.15,         0.03,         1.07,         0.16,         0.01,         1.23,         0.02,         1.05,         3.83,       133.54,       183.35,         0.41
304051,201502,2015,2,Médio Porte,         0.01,         0.01,         0.00,         1.12,         0.15,         0.01,         1.25,        -0.02,         1.06,         3.97,       137.00,       180.76,         0.43
304051,201503,2015,3,Médio Porte,         0.00,         0.01,         0.00,         1.13,         0.13,         0.05,         1.27,         0.02,         1.01,         4.62,       109.18,       167.30,         0.51
304051,201504,2015,4,Médio Porte,         0.03,         0.08,         0.02,         1.10,         0.14,         0.02,         1.24,         0.02,         1.08,         3.54,        86.52,       152.99,         0.59
304123,201501,2015,1,Pequeno Porte,         0.19,         0.22,         0.07,         1.25,         0.25,         0.00,         1.36,         0.02,         1.52,         1.92,        24.61,        82.66,         0.70
304123,201502,2015,2,Pequeno Porte,         0.15,         0.19,         0.06,         1.34,         0.25,         0.00,         1.43,         0.03,         1.64,         1.95,        23.17,        93.47,         0.64
304123,201503,2015,3,Pequeno Porte,         0.09,         0.12,         0.03,         1.43,         0.24,         0.00,         1.48,         0.04,         1.68,         1.93,        23.92,        91.78,         0.62
304123,201504,2015,4,Pequeno Porte,        -0.10,        -0.09,        -0.04,         1.59,         0.28,         0.00,         1.63,         0.04,         1.71,         1.41,        29.50,        70.51,         0.67
304158,201501,2015,1,Pequeno Porte,        -0.05,        -0.20,        -0.03,         1.20,         0.33,         0.00,         1.36,         0.00,         0.68,         6.48,       146.58,       138.37,         0.42
304158,201502,2015,2,Pequeno Porte,        -0.06,        -0.28,        -0.04,         1.21,         0.41,         0.00,         1.43,        -0.03,         0.66,         6.10,       150.94,       143.15,         0.37
304158,201503,2015,3,Pequeno Porte,         0.00,         0.01,         0.00,         1.30,         0.49,         0.00,         1.56,        -0.00,         0.74,        10.86,       174.73,       177.88,         0.31
304158,201504,2015,4,Pequeno Porte,         0.12,         1.47,         0.08,         1.07,        -0.14,         0.00,         0.88,        -0.03,         0.78,        17.88,       161.95,       168.45,         0.30
304344,201501,2015,1,Médio Porte,         0.13,         0.15,         0.06,         0.91,         0.12,         0.00,         1.04,         0.02,         1.42,         1.55,       147.82,        50.26,         0.86
304344,201502,2015,2,Médio Porte,         0.17,         0.16,         0.07,         0.88,         0.14,         0.00,         1.02,         0.03,         1.56,         1.36,       161.35,        55.38,         0.84
304344,201503,2015,3,Médio Porte,         0.03,         0.03,         0.01,         1.03,         0.12,         0.00,         1.14,         0.03,         1.53,         1.45,       158.13,        82.08,         0.69
304344,201504,2015,4,Médio Porte,         0.04,         0.04,         0.02,         1.03,         0.12,         0.01,         1.14,         0.04,         1.48,         1.60,       155.09,        82.20,         0.68
304395,201501,2015,1,Pequeno Porte,         0.07,         0.04,         0.03,         0.98,         0.15,         0.00,         1.13,         0.02,         2.20,         0.39,        72.31,        40.10,         0.63
304395,201502,2015,2,Pequeno Porte,         0.00,         0.00,         0.00,         1.06,         0.15,         0.00,         1.20,         0.03,         2.02,         0.45,        77.75,        61.32,         0.51
304395,201503,2015,3,Pequeno Porte,        -0.08,        -0.05,        -0.03,         1.14,         0.15,         0.00,         1.26,         0.03,         1.85,         0.50,        71.58,        69.00,         0.45
304395,201504,2015,4,Pequeno Porte,        -0.05,        -0.03,        -0.02,         1.12,         0.14,         0.00,         1.23,         0.03,         1.66,         0.58,        73.97,        73.50,         0.53
304468,201501,2015,1,Médio Porte,         0.23,         0.24,         0.09,         0.98,         0.10,         0.03,         1.10,         0.04,         1.61,         1.61,        46.44,       121.29,         0.49
304468,201502,2015,2,Médio Porte,         0.13,         0.12,         0.05,         1.13,         0.12,         0.03,         1.23,         0.05,         1.80,         1.29,        40.35,       107.99,         0.50
304468,201503,2015,3,Médio Porte,         0.17,         0.14,         0.07,         1.05,         0.10,         0.03,         1.16,         0.05,         1.96,         1.11,        35.38,       102.10,         0.56
304468,201504,2015,4,Médio Porte,         0.03,         0.03,         0.01,         1.19,         0.11,         0.05,         1.27,         0.04,         1.85,         1.22,        44.91,        88.61,         0.59
304701,201501,2015,1,Grande Porte,         0.08,         0.16,         0.03,         1.01,         0.08,         0.03,         1.12,         0.03,         1.92,         3.79,        52.88,       134.89,         0.58
304701,201502,2015,2,Grande Porte,        -0.01,        -0.02,        -0.00,         1.12,         0.08,         0.04,         1.21,         0.04,         1.86,         4.06,        61.00,       129.29,         0.56
304701,201503,2015,3,Grande Porte,        -0.02,        -0.05,        -0.01,         1.13,         0.09,         0.03,         1.23,         0.04,         1.79,         4.42,        63.00,       124.70,         0.56
