Registro_ANS	Razao_Social	Nome_Fantasia	Regiao_de_Atuacao
339679	CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL	CENTRAL NACIONAL UNIMED	1
417092	CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE SOCIEDADE COOPERATIVA		4
386596	CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO	UNIMED CERRADO	5
367087	COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.	UNIMED OPERADORA/RS	3
313084	COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA	UNIMED DE ARAGUAINA	5
318213	COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO	COOPERATIVA DE TRABALHO MEDICO REG.PLAN.SERRANO	5
337188	COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE	UNIMED SUL MINEIRA	5
338559	COOPERATIVA DE TRABALHO MÉDICO DE SÃO LUÍS LTDA. - UNIMED DE SÃO LUÍS	UNIMED SÃO LUÍS	5
317012	COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA	UNIMED PLANALTO NORTE	5
363774	COOPERATIVA DE TRABALHO MÉDICO UNIMED TERESÓPOLIS		5
313971	FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA	FAMA	5
360767	MEDICAL MEDICINA COOPERATIVA ASSISTENCIAL DE LIMEIRA	MEDICAL	5
306398	UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.		5
313955	UNIMED ALEM PARAIBA COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED ALÉM PARAIBA	5
354996	UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO	UNIMED ALFENAS	5
324159	UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO	UNIMED ALTA MOGIANA	5
343684	UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA.	UNIMED ALTO DA SERRA	5
352519	UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA	UNIMED ALTO JACUÍ	5
341819	UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO	UNIMED ALTO PARANAIBA	6
348261	UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO	UNIMED ALTO SÃO FRANCISCO	5
306959	UNIMED ALTO URUGUAI/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED ALTO URUGUAI/RS	5
372561	UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO	UNIMED ALTO VALE	5
345598	UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO	UNIMED AMPARO	5
352861	UNIMED ANDRADAS COOPERATIVA DE TRABALHO MÉDICO	UNIMED ANDRADAS	5
348082	UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO	UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO	5
312347	UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.	UNIMED ANÁPOLIS	5
358096	UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO	UNIMED APUCARANA	5
354325	UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO	UNIMED ARAGUARI	5
335215	UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA.	5
331651	UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED ARAXÁ	5
309087	UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED BARBACENA	5
304468	UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED ARAGUAIA	5
343889	UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO	UNIMED BH	4
303976	UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO	UNIMED BELÉM	5
334561	UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO	UNIMED BLUMENAU	5
304158	UNIMED BOA VISTA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE BOA VISTA COOP TRABALHO MEDICO	6
323357	UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.	UNIMED CABO FRIO	5
350346	UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO	UNIMED CÁCERES	6
344141	UNIMED CAJAZEIRAS - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO	UNIMED CAJAZEIRAS - COOPERATIVA DE TRABALHO MÉDICO	5
343765	UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO	UNIMED DE CALDAS NOVAS	5
367397	UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED CAMPINA GRANDE	5
